lat,lon
40.834,-73.945
40.567,-73.883
40.69,-73.982
40.709,-73.991
40.833,-73.942
40.759,-73.83
40.849,-73.938
40.882,-74.042
40.914,-74.178
40.757,-73.992
40.762,-73.985
40.816,-73.958
40.835,-73.945
40.66,-73.83
40.609,-73.819
40.734,-73.871
40.733,-73.871
40.763,-73.875
40.756,-73.986
40.831,-73.941
40.828,-73.926
40.691,-73.987
40.731,-74.0
40.8,-73.829
40.86,-73.926
40.821,-73.954
40.69,-73.981
40.689,-73.981
40.662,-73.865
40.696,-73.991
40.771,-73.918
40.766,-73.884
40.803,-73.933
40.69,-73.985
40.766,-73.978
40.714,-73.83
40.69,-73.984
40.808,-73.964
40.676,-73.872
40.699,-73.807
40.752,-73.987
40.701,-74.013
40.833,-73.946
40.817,-73.959
40.774,-73.871
40.759,-73.831
40.834,-74.098
40.77,-73.918
40.7,-73.808
40.577,-73.982
40.653,-74.002
40.656,-73.907
40.619,-73.99
40.688,-73.98
40.605,-73.98
40.577,-73.981
40.819,-73.957
40.856,-73.901
40.866,-73.894
40.768,-73.982
40.751,-73.987
40.75,-73.988
40.594,-74.135
40.634,-74.13
40.745,-73.904
40.767,-73.921
40.726,-73.895
40.775,-73.935
40.765,-73.887
40.631,-73.977
40.635,-74.024
40.757,-73.988
40.76,-73.999
40.732,-73.986
40.735,-73.991
40.72,-73.979
40.738,-74.0
40.727,-74.006
40.78,-73.956
40.754,-73.984
40.759,-73.982
40.712,-74.01
40.778,-73.955
40.772,-73.959
40.773,-73.958
40.802,-73.949
40.81,-73.943
40.771,-73.962
40.725,-73.997
40.727,-74.002
40.743,-73.982
40.774,-73.984
40.773,-73.962
40.788,-73.949
40.772,-73.961
40.774,-73.967
40.793,-73.948
40.809,-73.949
40.794,-73.949
40.726,-73.997
40.726,-73.999
40.687,-73.978
40.738,-74.004
40.793,-73.949
40.774,-73.959
40.728,-73.981
40.803,-73.953
40.783,-73.979
40.834,-73.939
40.794,-73.967
40.795,-73.966
40.775,-73.959
40.799,-73.941
40.811,-73.943
40.802,-73.957
40.805,-73.955
40.77,-73.955
40.791,-73.947
40.8,-73.945
40.752,-73.98
40.76,-73.975
40.761,-73.977
40.774,-73.96
40.683,-73.935
40.682,-73.935
40.81,-73.959
40.805,-73.962
40.814,-73.944
40.808,-73.951
40.734,-73.988
40.674,-73.926
40.809,-73.945
40.769,-73.956
40.737,-73.991
40.735,-73.99
40.744,-73.984
40.728,-73.999
40.745,-73.999
40.764,-73.829
40.704,-73.802
40.762,-73.832
40.606,-73.985
40.6,-73.99
40.609,-74.0
40.763,-73.809
40.703,-73.8
40.708,-73.803
40.702,-73.801
40.758,-73.828
40.764,-73.828
40.693,-73.928
40.717,-73.998
40.758,-73.83
40.602,-73.993
40.783,-73.831
40.783,-73.833
40.757,-73.827
40.761,-73.831
40.76,-73.83
40.716,-73.996
40.718,-73.998
40.718,-74.0
40.719,-73.997
40.642,-74.002
40.684,-73.977
40.646,-73.914
40.707,-73.803
40.762,-73.831
40.702,-73.802
40.758,-73.829
40.748,-73.884
40.706,-73.803
40.718,-74.001
40.72,-74.0
40.716,-73.997
40.717,-73.999
40.716,-73.999
40.758,-73.832
40.709,-73.804
40.759,-73.829
40.677,-73.899
40.681,-73.967
40.681,-73.957
40.602,-73.994
40.604,-73.997
40.605,-73.999
40.609,-73.958
40.605,-73.978
40.769,-73.835
40.6,-73.991
40.706,-73.802
40.727,-74.0
40.725,-74.0
40.593,-73.95
40.723,-73.8
40.779,-73.776
40.622,-73.987
40.599,-73.985
40.728,-73.929
40.651,-73.872
40.652,-73.87
40.619,-74.033
40.742,-73.988
40.742,-73.974
40.738,-73.988
40.742,-73.975
40.741,-73.988
40.734,-73.994
40.742,-73.989
40.737,-73.989
40.74,-73.989
40.725,-73.996
40.757,-73.985
40.757,-73.984
40.747,-73.986
40.743,-73.989
40.74,-73.995
40.74,-73.991
40.741,-73.989
40.734,-73.99
40.745,-73.998
40.746,-73.991
40.741,-73.99
40.737,-73.99
40.737,-73.987
40.769,-74.225
40.738,-73.984
40.736,-73.979
40.741,-73.991
40.737,-74.03
40.736,-74.028
40.737,-74.029
40.742,-74.031
40.74,-74.03
40.739,-74.03
40.753,-74.025
40.753,-74.024
40.696,-73.985
40.746,-74.024
40.756,-74.024
40.737,-74.031
40.738,-74.031
40.77,-74.027
40.741,-74.03
40.753,-73.989
40.753,-74.023
40.756,-74.043
40.75,-74.036
40.738,-74.034
40.738,-74.032
40.77,-74.024
40.744,-74.024
40.764,-73.999
40.737,-74.025
40.792,-74.048
40.792,-74.05
40.807,-73.989
40.754,-74.032
40.754,-74.029
40.748,-74.028
40.75,-74.025
40.774,-74.024
40.746,-74.03
40.775,-74.035
40.77,-74.028
40.753,-74.026
40.77,-74.029
40.776,-74.035
40.774,-74.025
40.748,-73.986
40.748,-73.993
40.759,-74.044
40.76,-74.044
40.766,-74.03
40.787,-74.046
40.787,-74.048
40.77,-74.025
40.751,-74.025
40.808,-74.003
40.742,-73.991
40.761,-74.019
40.76,-74.022
40.737,-74.037
40.738,-74.036
40.741,-74.036
40.946,-74.071
40.956,-74.073
40.917,-74.076
40.919,-74.076
40.92,-74.075
40.919,-74.077
40.919,-74.075
40.752,-74.027
40.754,-74.033
40.742,-74.029
40.802,-74.124
40.781,-74.046
40.76,-74.028
40.733,-74.038
40.668,-74.105
40.667,-74.105
40.669,-74.107
40.771,-73.974
40.761,-73.972
40.759,-73.978
40.759,-73.979
40.778,-73.98
40.751,-73.974
40.763,-73.977
40.776,-73.975
40.781,-73.98
40.765,-73.992
40.762,-73.994
40.743,-73.996
40.757,-73.993
40.772,-73.976
40.756,-73.972
40.779,-73.977
40.782,-73.979
40.783,-73.978
40.774,-73.974
40.781,-73.982
